Pokemon,Item,Ability,Tera Type,Move 1,Move 2,Move 3,Move 4,Rank,Wins,Losses,Tournament
Zamazenta ,Rusted Shield,Dauntless Shield,Dragon, Body Press, Heavy Slam, Wide Guard, Protect,3,9,2,Worlds
UrshifuRapidStrike ,Safety Goggles,Unseen Fist,Water, Surging Strikes, Aqua Jet, Substitute, Protect,3,9,2,Worlds
Entei ,Choice Band,Inner Focus,Normal, Sacred Fire, Extreme Speed, Stone Edge, Flare Blitz,3,9,2,Worlds
Miraidon ,Choice Specs,Hadron Engine,Fairy, Electro Drift, Draco Meteor, Dazzling Gleam, Volt Switch,4,9,2,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,4,9,2,Worlds
Whimsicott ,Covert Cloak,Prankster,Water, Tailwind, Moonblast, Encore, Light Screen,4,9,2,Worlds
Iron Hands ,Assault Vest,Quark Drive,Grass, Fake Out, Drain Punch, Low Kick, Heavy Slam,4,9,2,Worlds
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Protect,4,9,2,Worlds
Farigiraf ,Electric Seed,Armor Tail,Water, Trick Room, Psychic, Foul Play, Helping Hand,4,9,2,Worlds
Ursaluna ,Flame Orb,Guts,Fairy, Facade, Headlong Rush, Earthquake, Protect,5,10,1,Worlds
OgerponWellspring ,Wellspring Mask,Water Absorb,Water, Ivy Cudgel, Wood Hammer, Follow Me, Taunt,5,10,1,Worlds
Gallade ,Psychic Seed,Sharpness,Fire, Sacred Sword, Psycho Cut, Wide Guard, Trick Room,5,10,1,Worlds
IndeedeeF ,Rocky Helmet,Psychic Surge,Dragon, Follow Me, Heal Pulse, Helping Hand, Trick Room,5,10,1,Worlds
CalyrexIce ,Clear Amulet,As One (Glastrier),Dragon, Glacial Lance, High Horsepower, Imprison, Trick Room,5,10,1,Worlds
Torkoal ,Assault Vest,Drought,Grass, Eruption, Weather Ball, Solar Beam, Clear Smog,5,10,1,Worlds
Gholdengo ,Choice Specs,Good as Gold,Steel, Shadow Ball, Trick, Make It Rain, Thunderbolt,6,9,2,Worlds
Miraidon ,Assault Vest,Hadron Engine,Fairy, Volt Switch, Draco Meteor, Electro Drift, Dazzling Gleam,6,9,2,Worlds
Dondozo ,Leftovers,Unaware,Grass, Order Up, Protect, Wave Crash, Earthquake,6,9,2,Worlds
Dragonite ,Choice Band,Multiscale,Normal, Iron Head, Aerial Ace, Extreme Speed, Outrage,6,9,2,Worlds
Tatsugiri ,Choice Scarf,Commander,Normal, Muddy Water, Icy Wind, Draco Meteor, Sleep Talk,6,9,2,Worlds
ChiYu ,Focus Sash,Beads of Ruin,Ghost, Heat Wave, Protect, Dark Pulse, Overheat,6,9,2,Worlds
Farigiraf ,Safety Goggles,Armor Tail,Steel, Foul Play, Helping Hand, Trick Room, Psychic,7,9,2,Worlds
Landorus ,Life Orb,Sheer Force,Poison, Protect, Sludge Bomb, Earth Power, Sandsear Storm,7,9,2,Worlds
CalyrexIce ,Clear Amulet,As One (Glastrier),Water, Trick Room, Glacial Lance, Protect, High Horsepower,7,9,2,Worlds
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Follow Me, Power Whip, Spiky Shield,7,9,2,Worlds
UrshifuRapidStrike ,Mystic Water,Unseen Fist,Normal, Detect, Close Combat, Surging Strikes, Aqua Jet,7,9,2,Worlds
Regieleki ,Focus Sash,Transistor,Electric, Protect, Electroweb, Thunderbolt, Volt Switch,7,9,2,Worlds
ChienPao ,Focus Sash,Sword of Ruin,Stellar, Icicle Crash, Sucker Punch, Sacred Sword, Protect,8,9,2,Worlds
Incineroar ,Rocky Helmet,Intimidate,Ghost, Fake Out, Knock Off, Parting Shot, WillOWisp,8,9,2,Worlds
Terapagos ,Leftovers,Tera Shift,Stellar, Tera Starstorm, Calm Mind, Substitute, Protect,8,9,2,Worlds
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Icy Wind, Thunder Wave, Protect,8,9,2,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Grass, Fake Out, Wood Hammer, Grassy Glide, Uturn,8,9,2,Worlds
UrshifuRapidStrike ,Splash Plate,Unseen Fist,Water, Surging Strikes, Close Combat, Aqua Jet, Detect,8,9,2,Worlds
Incineroar ,Rocky Helmet,Intimidate,Ghost, Knock Off, Parting Shot, WillOWisp, Fake Out,9,10,1,Worlds
UrshifuRapidStrike ,Mystic Water,Unseen Fist,Poison, Surging Strikes, Close Combat, Aqua Jet, Detect,9,10,1,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Grass, Wood Hammer, Grassy Glide, Uturn, Fake Out,9,10,1,Worlds
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Moonblast, Icy Wind, Thunder Wave, Protect,9,10,1,Worlds
Terapagos ,Leftovers,Tera Shift,Stellar, Tera Starstorm, Calm Mind, Substitute, Protect,9,10,1,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,9,10,1,Worlds
CalyrexShadow ,Life Orb,As One (Spectrier),Normal, Astral Barrage, Expanding Force, Nasty Plot, Protect,10,10,1,Worlds
Incineroar ,Rocky Helmet,Intimidate,Water, Knock Off, WillOWisp, Parting Shot, Fake Out,10,10,1,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Fire, Grassy Glide, Fake Out, Uturn, Wood Hammer,10,10,1,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Surging Strikes, Close Combat, Taunt, Detect,10,10,1,Worlds
Raging Bolt ,Booster Energy,Protosynthesis,Electric, Draco Meteor, Thunderclap, Thunderbolt, Protect,10,10,1,Worlds
Clefairy ,Eviolite,Friend Guard,Ground, Follow Me, Helping Hand, Sing, Protect,10,10,1,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Surging Strikes, Close Combat, Aqua Jet, Detect,11,10,1,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Fire, Uturn, Wood Hammer, Grassy Glide, Fake Out,11,10,1,Worlds
Raging Bolt ,Booster Energy,Protosynthesis,Fairy, Thunderbolt, Draco Meteor, Thunderclap, Protect,11,10,1,Worlds
CalyrexShadow ,Spell Tag,As One (Spectrier),Normal, Astral Barrage, Psychic, Nasty Plot, Protect,11,10,1,Worlds
Incineroar ,Rocky Helmet,Intimidate,Water, Parting Shot, Flare Blitz, Knock Off, Fake Out,11,10,1,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Ivy Cudgel, Grassy Glide, Spiky Shield, Follow Me,11,10,1,Worlds
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Water, Surging Strikes, Close Combat, Uturn, Rock Tomb,12,10,1,Worlds
TatsugiriDroopy ,Focus Sash,Commander,Stellar, Draco Meteor, Muddy Water, Helping Hand, Protect,12,10,1,Worlds
CalyrexShadow ,Life Orb,As One (Spectrier),Normal, Astral Barrage, Expanding Force, Pollen Puff, Protect,12,10,1,Worlds
WeezingGalar ,Mental Herb,Neutralizing Gas,Grass, Toxic Spikes, Dazzling Gleam, Poison Gas, Protect,12,10,1,Worlds
IndeedeeF ,Safety Goggles,Psychic Surge,Water, Follow Me, Helping Hand, Psyshock, Trick Room,12,10,1,Worlds
Dondozo ,Leftovers,Unaware,Grass, Wave Crash, Order Up, Protect, Body Press,12,10,1,Worlds
CalyrexIce ,Clear Amulet,As One (Glastrier),Fire, Glacial Lance, High Horsepower, Trick Room, Protect,13,9,2,Worlds
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Power Whip, Follow Me, Spiky Shield,13,9,2,Worlds
Farigiraf ,Throat Spray,Armor Tail,Water, Hyper Voice, Shadow Ball, Trick Room, Helping Hand,13,9,2,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Grass, Wood Hammer, Grassy Glide, Uturn, Fake Out,13,9,2,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Water, Surging Strikes, Close Combat, Aqua Jet, Detect,13,9,2,Worlds
Raging Bolt ,Booster Energy,Protosynthesis,Electric, Thunderbolt, Draco Meteor, Thunderclap, Protect,13,9,2,Worlds
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Ghost, Surging Strikes, Close Combat, Uturn, Aqua Jet,14,9,2,Worlds
Kyogre ,Leftovers,Drizzle,Grass, Origin Pulse, Ice Beam, Calm Mind, Protect,14,9,2,Worlds
Roaring Moon ,Booster Energy,Protosynthesis,Flying, Knock Off, Acrobatics, Tailwind, Protect,14,9,2,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Fire, Drum Beating, Grassy Glide, Fake Out, Uturn,14,9,2,Worlds
Amoonguss ,Rocky Helmet,Regenerator,Steel, Spore, Rage Powder, Sludge Bomb, Protect,14,9,2,Worlds
Incineroar ,Safety Goggles,Intimidate,Ghost, Knock Off, Parting Shot, Fake Out, WillOWisp,14,9,2,Worlds
Flutter Mane ,Booster Energy,Protosynthesis,Grass, Moonblast, Shadow Ball, Thunder Wave, Protect,15,9,2,Worlds
Latios ,Soul Dew,Levitate,Steel, Luster Purge, Draco Meteor, Tailwind, Protect,15,9,2,Worlds
Rillaboom ,Miracle Seed,Grassy Surge,Grass, Wood Hammer, Grassy Glide, Fake Out, Protect,15,9,2,Worlds
Landorus ,Life Orb,Sheer Force,Poison, Earth Power, Sludge Bomb, Substitute, Protect,15,9,2,Worlds
Tyranitar ,Focus Sash,Sand Stream,Ghost, Rock Slide, Knock Off, Taunt, Protect,15,9,2,Worlds
Zamazenta ,Rusted Shield,Dauntless Shield,Dragon, Body Press, Heavy Slam, Wide Guard, Protect,15,9,2,Worlds
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Detect,16,9,2,Worlds
ChiYu ,Safety Goggles,Beads of Ruin,Water, Overheat, Heat Wave, Snarl, Protect,16,9,2,Worlds
Amoonguss ,Rocky Helmet,Regenerator,Water, Pollen Puff, Spore, Rage Powder, Protect,16,9,2,Worlds
Flutter Mane ,Booster Energy,Protosynthesis,Normal, Moonblast, Icy Wind, Thunder Wave, Protect,16,9,2,Worlds
CalyrexIce ,Clear Amulet,As One (Glastrier),Fire, Glacial Lance, High Horsepower, Trick Room, Protect,16,9,2,Worlds
Raging Bolt ,Assault Vest,Protosynthesis,Electric, Draco Meteor, Thunderclap, Volt Switch, Electroweb,16,9,2,Worlds
Incineroar ,Safety Goggles,Intimidate,Ghost, Fake Out, Parting Shot, Helping Hand, Knock Off,17,9,2,Worlds
Raging Bolt ,Booster Energy,Protosynthesis,Fairy, Protect, Thunderbolt, Dragon Pulse, Thunderclap,17,9,2,Worlds
CalyrexShadow ,Covert Cloak,As One (Spectrier),Water, Protect, Astral Barrage, Nasty Plot, Psyshock,17,9,2,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Fire, Fake Out, Wood Hammer, Uturn, Grassy Glide,17,9,2,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Detect, Surging Strikes, Close Combat, Aqua Jet,17,9,2,Worlds
Farigiraf ,Throat Spray,Armor Tail,Grass, Protect, Psychic, Hyper Voice, Trick Room,17,9,2,Worlds
ChiYu ,Covert Cloak,Beads of Ruin,Grass, Protect, Snarl, Heat Wave, Overheat,18,9,2,Worlds
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Spiky Shield, Follow Me, Power Whip, Ivy Cudgel,18,9,2,Worlds
CalyrexIce ,NeverMelt Ice,As One (Glastrier),Poison, Protect, Glacial Lance, High Horsepower, Trick Room,18,9,2,Worlds
Flutter Mane ,Booster Energy,Protosynthesis,Normal, Protect, Dazzling Gleam, Icy Wind, Moonblast,18,9,2,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Water, Surging Strikes, Close Combat, Detect, Aqua Jet,18,9,2,Worlds
Raging Bolt ,Life Orb,Protosynthesis,Electric, Protect, Draco Meteor, Thunderbolt, Thunderclap,18,9,2,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Surging Strikes, Close Combat, Aqua Jet, Detect,19,9,2,Worlds
CalyrexShadow ,Spell Tag,As One (Spectrier),Normal, Astral Barrage, Expanding Force, Nasty Plot, Protect,19,9,2,Worlds
Amoonguss ,Rocky Helmet,Regenerator,Fairy, Spore, Sludge Bomb, Rage Powder, Protect,19,9,2,Worlds
Raging Bolt ,Life Orb,Protosynthesis,Electric, Thunderbolt, Dragon Pulse, Thunderclap, Protect,19,9,2,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Fire, Fake Out, Grassy Glide, Uturn, Wood Hammer,19,9,2,Worlds
Incineroar ,Covert Cloak,Intimidate,Ghost, Fake Out, Knock Off, Taunt, Parting Shot,19,9,2,Worlds
Zamazenta ,Rusted Shield,Dauntless Shield,Grass, Body Press, Heavy Slam, Wide Guard, Protect,20,9,2,Worlds
Pelipper ,Safety Goggles,Drizzle,Grass, Weather Ball, Hurricane, Wide Guard, Helping Hand,20,9,2,Worlds
UrshifuRapidStrike ,Choice Scarf,Unseen Fist,Ghost, Surging Strikes, Close Combat, Coaching, Uturn,20,9,2,Worlds
Raging Bolt ,Booster Energy,Protosynthesis,Electric, Thunderbolt, Thunderclap, Dragon Pulse, Protect,20,9,2,Worlds
ChienPao ,Focus Sash,Sword of Ruin,Ghost, Ice Spinner, Throat Chop, Sucker Punch, Protect,20,9,2,Worlds
Amoonguss ,Rocky Helmet,Regenerator,Dark, Spore, Rage Powder, Sludge Bomb, Protect,20,9,2,Worlds
Ditto ,Choice Scarf,Imposter,Normal, Transform,,,,21,9,2,Worlds
Zacian ,Rusted Sword,Intrepid Sword,Ground, Iron Head, Sacred Sword, Tera Blast, Protect,21,9,2,Worlds
Amoonguss ,Rocky Helmet,Regenerator,Water, Spore, Sludge Bomb, Rage Powder, Protect,21,9,2,Worlds
Regidrago ,Life Orb,Dragon's Maw,Ghost, Dragon Energy, Draco Meteor, Tera Blast, Protect,21,9,2,Worlds
ChiYu ,Focus Sash,Beads of Ruin,Fire, Heat Wave, Overheat, Dark Pulse, Protect,21,9,2,Worlds
Whimsicott ,Covert Cloak,Prankster,Steel, Moonblast, Tailwind, Sunny Day, Encore,21,9,2,Worlds
CalyrexIce ,Clear Amulet,As One (Glastrier),Normal, Glacial Lance, High Horsepower, Protect, Trick Room,22,9,2,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Surging Strikes, Close Combat, Aqua Jet, Detect,22,9,2,Worlds
Landorus ,Choice Scarf,Sheer Force,Ghost, Earth Power, Sandsear Storm, Sludge Bomb, Uturn,22,9,2,Worlds
Ogerpon ,Loaded Dice,Defiant,Grass, Bullet Seed, Encore, Follow Me, Spiky Shield,22,9,2,Worlds
Pelipper ,Safety Goggles,Drizzle,Grass, Weather Ball, Hurricane, Wide Guard, Helping Hand,22,9,2,Worlds
Incineroar ,Rocky Helmet,Intimidate,Grass, Knock Off, WillOWisp, Fake Out, Parting Shot,22,9,2,Worlds
Rillaboom ,Clear Amulet,Grassy Surge,Fire, Wood Hammer, Grassy Glide, Uturn, Fake Out,23,9,2,Worlds
Amoonguss ,Mental Herb,Regenerator,Water, Spore, Sludge Bomb, Rage Powder, Protect,23,9,2,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Surging Strikes, Close Combat, Aqua Jet, Protect,23,9,2,Worlds
CalyrexShadow ,Life Orb,As One (Spectrier),Dark, Astral Barrage, Psychic, Nasty Plot, Protect,23,9,2,Worlds
Raging Bolt ,Assault Vest,Protosynthesis,Fairy, Electroweb, Volt Switch, Thunderclap, Draco Meteor,23,9,2,Worlds
Incineroar ,Rocky Helmet,Intimidate,Water, Parting Shot, Knock Off, Helping Hand, Fake Out,23,9,2,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Ivy Cudgel, Horn Leech, Follow Me, Spiky Shield,24,9,2,Worlds
Miraidon ,Choice Specs,Hadron Engine,Fairy, Dazzling Gleam, Draco Meteor, Electro Drift, Volt Switch,24,9,2,Worlds
Whimsicott ,Covert Cloak,Prankster,Water, Tailwind, Moonblast, Encore, Light Screen,24,9,2,Worlds
Iron Hands ,Assault Vest,Quark Drive,Grass, Fake Out, Low Kick, Drain Punch, Heavy Slam,24,9,2,Worlds
Farigiraf ,Electric Seed,Armor Tail,Water, Trick Room, Helping Hand, Psychic Noise, Foul Play,24,9,2,Worlds
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Detect,24,9,2,Worlds
Koraidon ,Clear Amulet,Orichalcum Pulse,Fire, Protect, Flare Blitz, Collision Course, Flame Charge,25,8,3,Worlds
Raging Bolt ,Assault Vest,Protosynthesis,Electric, Volt Switch, Thunderclap, Draco Meteor, Thunderbolt,25,8,3,Worlds
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Power Whip, Spiky Shield, Follow Me,25,8,3,Worlds
Flutter Mane ,Booster Energy,Protosynthesis,Fairy, Protect, Icy Wind, Moonblast, Sunny Day,25,8,3,Worlds
Ditto ,Focus Sash,Imposter,Ghost, Transform,,,,25,8,3,Worlds
ChiYu ,Covert Cloak,Beads of Ruin,Water, Heat Wave, Snarl, Overheat, Taunt,25,8,3,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Spiky Shield, Follow Me, Ivy Cudgel, Wood Hammer,26,8,3,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Grass, Detect, Surging Strikes, Close Combat, Aqua Jet,26,8,3,Worlds
Landorus ,Choice Scarf,Sheer Force,Ghost, Sandsear Storm, Earth Power, Sludge Bomb, Psychic,26,8,3,Worlds
Grimmsnarl ,Covert Cloak,Prankster,Water, Thunder Wave, Foul Play, Reflect, Taunt,26,8,3,Worlds
Raging Bolt ,Assault Vest,Protosynthesis,Poison, Thunderclap, Thunderbolt, Dragon Pulse, Electroweb,26,8,3,Worlds
Terapagos ,Leftovers,Tera Shift,Stellar, Protect, Calm Mind, Tera Starstorm, Dark Pulse,26,8,3,Worlds
Smeargle ,Focus Sash,Moody,Grass, Follow Me, Spore, Decorate, Quick Guard,27,8,3,Worlds
Tornadus ,Rocky Helmet,Prankster,Dark, Tailwind, Protect, Scary Face, Bleakwind Storm,27,8,3,Worlds
Terapagos ,Choice Specs,Tera Shift,Stellar, Tera Starstorm, Earth Power, Dark Pulse, Dazzling Gleam,27,8,3,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Spiky Shield, Follow Me, Ivy Cudgel, Taunt,27,8,3,Worlds
Iron Hands ,Assault Vest,Quark Drive,Grass, Drain Punch, Wild Charge, Heavy Slam, Fake Out,27,8,3,Worlds
Klefki ,Light Clay,Prankster,Ghost, Light Screen, Reflect, Thunder Wave, Dazzling Gleam,27,8,3,Worlds
Kyogre ,Assault Vest,Drizzle,Grass, Water Spout, Ice Beam, Origin Pulse, Thunder,28,8,3,Worlds
UrshifuRapidStrike ,Choice Band,Unseen Fist,Grass, Surging Strikes, Close Combat, Aqua Jet, Uturn,28,8,3,Worlds
Tornadus ,Covert Cloak,Prankster,Dark, Tailwind, Rain Dance, Bleakwind Storm, Taunt,28,8,3,Worlds
Landorus ,Choice Scarf,Sheer Force,Ghost, Sandsear Storm, Earth Power, Taunt, Sludge Bomb,28,8,3,Worlds
Tsareena ,Wide Lens,Queenly Majesty,Ice, Protect, Power Whip, Triple Axel, Taunt,28,8,3,Worlds
Basculegion ,Life Orb,Swift Swim,Grass, Protect, Wave Crash, Last Respects, Aqua Jet,28,8,3,Worlds
Grimmsnarl ,Covert Cloak,Prankster,Water, Foul Play, Reflect, Thunder Wave, Taunt,29,8,3,Worlds
Landorus ,Choice Scarf,Sheer Force,Ghost, Earth Power, Sandsear Storm, Sludge Bomb, Psychic,29,8,3,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Grass, Detect, Close Combat, Aqua Jet, Surging Strikes,29,8,3,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Spiky Shield, Follow Me, Ivy Cudgel, Wood Hammer,29,8,3,Worlds
Raging Bolt ,Assault Vest,Protosynthesis,Poison, Electroweb, Thunderbolt, Thunderclap, Dragon Pulse,29,8,3,Worlds
Terapagos ,Leftovers,Tera Shift,Stellar, Protect, Calm Mind, Tera Starstorm, Dark Pulse,29,8,3,Worlds
CalyrexShadow ,Covert Cloak,As One (Spectrier),Fairy, Astral Barrage, Draining Kiss, Calm Mind, Protect,30,8,3,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Fire, Wood Hammer, Grassy Glide, Uturn, Fake Out,30,8,3,Worlds
Roaring Moon ,Booster Energy,Protosynthesis,Flying, Knock Off, Acrobatics, Tailwind, Protect,30,8,3,Worlds
Incineroar ,Rocky Helmet,Intimidate,Water, Flare Blitz, Parting Shot, WillOWisp, Fake Out,30,8,3,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Stellar, Surging Strikes, Close Combat, Taunt, Detect,30,8,3,Worlds
Clefairy ,Eviolite,Friend Guard,Grass, Follow Me, Helping Hand, After You, Protect,30,8,3,Worlds
UrshifuRapidStrike ,Mystic Water,Unseen Fist,Grass, Surging Strikes, Close Combat, Aqua Jet, Protect,31,8,3,Worlds
Ursaluna ,Flame Orb,Guts,Normal, Headlong Rush, Facade, Substitute, Protect,31,8,3,Worlds
Miraidon ,Choice Specs,Hadron Engine,Ghost, Electro Drift, Volt Switch, Discharge, Dragon Pulse,31,8,3,Worlds
Iron Crown ,Expert Belt,Quark Drive,Ground, Tachyon Cutter, Protect, Psychic Noise, Tera Blast,31,8,3,Worlds
Incineroar ,Assault Vest,Intimidate,Dragon, Flare Blitz, Fake Out, Uturn, Knock Off,31,8,3,Worlds
Whimsicott ,Focus Sash,Prankster,Ghost, Moonblast, Encore, Protect, Tailwind,31,8,3,Worlds
Iron Hands ,Assault Vest,Quark Drive,Grass, Fake Out, Drain Punch, Wild Charge, Heavy Slam,32,8,3,Worlds
Urshifu ,Focus Sash,Unseen Fist,Dark, Wicked Blow, Close Combat, Sucker Punch, Detect,32,8,3,Worlds
Farigiraf ,Electric Seed,Armor Tail,Water, Psychic Noise, Foul Play, Trick Room, Helping Hand,32,8,3,Worlds
ChiYu ,Choice Scarf,Beads of Ruin,Fire, Overheat, Heat Wave, Snarl, Flamethrower,32,8,3,Worlds
Miraidon ,Choice Specs,Hadron Engine,Fairy, Electro Drift, Volt Switch, Draco Meteor, Dazzling Gleam,32,8,3,Worlds
Whimsicott ,Covert Cloak,Prankster,Fire, Moonblast, Tailwind, Encore, Light Screen,32,8,3,Worlds
OgerponCornerstone ,Cornerstone Mask,Sturdy,Rock, Ivy Cudgel, Power Whip, Follow Me, Spiky Shield,33,8,3,Worlds
UrshifuRapidStrike ,Focus Sash,Unseen Fist,Water, Surging Strikes, Close Combat, Aqua Jet, Detect,33,8,3,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Grass, Wood Hammer, Grassy Glide, Uturn, Fake Out,33,8,3,Worlds
Raging Bolt ,Booster Energy,Protosynthesis,Electric, Thunderbolt, Draco Meteor, Thunderclap, Protect,33,8,3,Worlds
Farigiraf ,Throat Spray,Armor Tail,Water, Hyper Voice, Shadow Ball, Trick Room, Helping Hand,33,8,3,Worlds
CalyrexIce ,Clear Amulet,As One (Glastrier),Fire, Glacial Lance, High Horsepower, Trick Room, Protect,33,8,3,Worlds
Rillaboom ,Assault Vest,Grassy Surge,Normal, Wood Hammer, Fake Out, High Horsepower, Grassy Glide,34,8,3,Worlds
Zacian ,Rusted Sword,Intrepid Sword,Fairy, Iron Head, Swords Dance, Protect, Play Rough,34,8,3,Worlds
UrshifuRapidStrike ,Mystic Water,Unseen Fist,Grass, Close Combat, Detect, Surging Strikes, Aqua Jet,34,8,3,Worlds
ChienPao ,Focus Sash,Sword of Ruin,Ghost, Sacred Sword, Icicle Crash, Protect, Sucker Punch,34,8,3,Worlds
Umbreon ,Safety Goggles,Inner Focus,Water, Snarl, Taunt, Foul Play, Yawn,34,8,3,Worlds
Tornadus ,Covert Cloak,Prankster,Dark, Bleakwind Storm, Rain Dance, Protect, Tailwind,34,8,3,Worlds
OgerponHearthflame ,Hearthflame Mask,Mold Breaker,Fire, Ivy Cudgel, Follow Me, Taunt, Spiky Shield,35,8,3,Worlds
Tornadus ,Rocky Helmet,Prankster,Dark, Tailwind, Scary Face, Protect, Bleakwind Storm,35,8,3,Worlds
Smeargle ,Focus Sash,Moody,Grass, Follow Me, Spore, Decorate, Quick Guard,35,8,3,Worlds
Iron Hands ,Assault Vest,Quark Drive,Grass, Fake Out, Drain Punch, Wild Charge, Heavy Slam,35,8,3,Worlds
Terapagos ,Choice Specs,Tera Shift,Stellar, Tera Starstorm, Earth Power, Dazzling Gleam, Dark Pulse,35,8,3,Worlds
Klefki ,Light Clay,Prankster,Ghost, Reflect, Light Screen, Thunder Wave, Dazzling Gleam,35,8,3,Worlds
Clefairy ,Eviolite,Friend Guard,Ground, Follow Me, Helping Hand, After You, Protect,36,8,3,Worlds
CalyrexShadow ,Life Orb,As One (Spectrier),Grass, Astral Barrage, Giga Drain, Nasty Plot, Protect,36,8,3,Worlds
UrshifuRapidStrike ,Mystic Water,Unseen Fist,Water, Surging Strikes, Close Combat, Taunt, Detect,36,8,3,Worlds
Tornadus ,Covert Cloak,Prankster,Dark, Bleakwind Storm, Tailwind, Rain Dance, Taunt,36,8,3,Worlds
