rank_category,pokemon,item,ability,tera type,move_1,move_2,move_3,move_4,tournament
2,urshifu,focus sash,unseen fist,stellar,surging-strikes,close-combat,aqua-jet,detect,worlds
2,rillaboom,assault vest,grassy surge,fire,uturn,wood-hammer,grassy-glide,fake-out,worlds
2,raging-bolt,booster energy,protosynthesis,fairy,thunderbolt,draco-meteor,thunderclap,protect,worlds
2,calyrex,spell tag,as one (spectrier),normal,astral-barrage,psychic,nasty-plot,protect,worlds
2,incineroar,rocky helmet,intimidate,water,parting-shot,flare-blitz,knock-off,fake-out,worlds
2,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,grassy-glide,spiky-shield,follow-me,worlds
2,dondozo,leftovers,unaware,grass,wave-crash,order-up,protect,body-press,worlds
2,indeedee,safety goggles,psychic surge,water,follow-me,helping-hand,psyshock,trick-room,worlds
2,weezing,mental herb,neutralizing gas,grass,toxic-spikes,dazzling-gleam,poison-gas,protect,worlds
2,calyrex,life orb,as one (spectrier),normal,astral-barrage,expanding-force,pollen-puff,protect,worlds
2,urshifu,choice scarf,unseen fist,water,surging-strikes,close-combat,uturn,rock-tomb,worlds
2,tatsugiri,focus sash,commander,stellar,draco-meteor,muddy-water,helping-hand,protect,worlds
2,calyrex,clear amulet,as one (glastrier),fire,glacial-lance,high-horsepower,trick-room,protect,worlds
2,ogerpon,cornerstone mask,sturdy,rock,ivy-cudgel,power-whip,follow-me,spiky-shield,worlds
2,farigiraf,throat spray,armor tail,water,hyper-voice,shadow-ball,trick-room,helping-hand,worlds
2,rillaboom,assault vest,grassy surge,grass,wood-hammer,grassy-glide,uturn,fake-out,worlds
2,urshifu,focus sash,unseen fist,water,surging-strikes,close-combat,aqua-jet,detect,worlds
2,raging-bolt,booster energy,protosynthesis,electric,thunderbolt,draco-meteor,thunderclap,protect,worlds
2,amoonguss,rocky helmet,regenerator,steel,spore,rage-powder,sludge-bomb,protect,worlds
2,incineroar,safety goggles,intimidate,ghost,knock-off,parting-shot,fake-out,willowisp,worlds
2,rillaboom,assault vest,grassy surge,fire,drum-beating,grassy-glide,fake-out,uturn,worlds
2,kyogre,leftovers,drizzle,grass,origin-pulse,ice-beam,calm-mind,protect,worlds
2,urshifu,choice scarf,unseen fist,ghost,surging-strikes,close-combat,uturn,aqua-jet,worlds
2,roaring-moon,booster energy,protosynthesis,flying,knock-off,acrobatics,tailwind,protect,worlds
2,flutter-mane,booster energy,protosynthesis,grass,moonblast,shadow-ball,thunder-wave,protect,worlds
2,latios,soul dew,levitate,steel,luster-purge,draco-meteor,tailwind,protect,worlds
2,rillaboom,miracle seed,grassy surge,grass,wood-hammer,grassy-glide,fake-out,protect,worlds
2,landorus,life orb,sheer force,poison,earth-power,sludge-bomb,substitute,protect,worlds
2,tyranitar,focus sash,sand stream,ghost,rock-slide,knock-off,taunt,protect,worlds
2,zamazenta,rusted shield,dauntless shield,dragon,body-press,heavy-slam,wide-guard,protect,worlds
2,flutter-mane,booster energy,protosynthesis,normal,moonblast,icy-wind,thunder-wave,protect,worlds
2,raging-bolt,assault vest,protosynthesis,electric,draco-meteor,thunderclap,volt-switch,electroweb,worlds
2,calyrex,clear amulet,as one (glastrier),fire,glacial-lance,high-horsepower,trick-room,protect,worlds
2,urshifu,focus sash,unseen fist,dark,wicked-blow,close-combat,sucker-punch,detect,worlds
2,chi-yu,safety goggles,beads of ruin,water,overheat,heat-wave,snarl,protect,worlds
2,amoonguss,rocky helmet,regenerator,water,pollen-puff,spore,rage-powder,protect,worlds
2,urshifu,focus sash,unseen fist,stellar,detect,surging-strikes,close-combat,aqua-jet,worlds
2,farigiraf,throat spray,armor tail,grass,protect,psychic,hyper-voice,trick-room,worlds
2,rillaboom,assault vest,grassy surge,fire,fake-out,wood-hammer,uturn,grassy-glide,worlds
2,calyrex,covert cloak,as one (spectrier),water,protect,astral-barrage,nasty-plot,psyshock,worlds
2,raging-bolt,booster energy,protosynthesis,fairy,protect,thunderbolt,dragon-pulse,thunderclap,worlds
2,incineroar,safety goggles,intimidate,ghost,fake-out,parting-shot,helping-hand,knock-off,worlds
2,urshifu,focus sash,unseen fist,water,surging-strikes,close-combat,detect,aqua-jet,worlds
2,raging-bolt,life orb,protosynthesis,electric,protect,draco-meteor,thunderbolt,thunderclap,worlds
2,flutter-mane,booster energy,protosynthesis,normal,protect,dazzling-gleam,icy-wind,moonblast,worlds
2,chi-yu,covert cloak,beads of ruin,grass,protect,snarl,heat-wave,overheat,worlds
2,ogerpon,cornerstone mask,sturdy,rock,spiky-shield,follow-me,power-whip,ivy-cudgel,worlds
2,calyrex,nevermelt ice,as one (glastrier),poison,protect,glacial-lance,high-horsepower,trick-room,worlds
2,urshifu,focus sash,unseen fist,stellar,surging-strikes,close-combat,aqua-jet,detect,worlds
2,calyrex,spell tag,as one (spectrier),normal,astral-barrage,expanding-force,nasty-plot,protect,worlds
2,amoonguss,rocky helmet,regenerator,fairy,spore,sludge-bomb,rage-powder,protect,worlds
2,raging-bolt,life orb,protosynthesis,electric,thunderbolt,dragon-pulse,thunderclap,protect,worlds
2,rillaboom,assault vest,grassy surge,fire,fake-out,grassy-glide,uturn,wood-hammer,worlds
2,incineroar,covert cloak,intimidate,ghost,fake-out,knock-off,taunt,parting-shot,worlds
2,amoonguss,rocky helmet,regenerator,dark,spore,rage-powder,sludge-bomb,protect,worlds
2,raging-bolt,booster energy,protosynthesis,electric,thunderbolt,thunderclap,dragon-pulse,protect,worlds
2,chien-pao,focus sash,sword of ruin,ghost,ice-spinner,throat-chop,sucker-punch,protect,worlds
2,pelipper,safety goggles,drizzle,grass,weather-ball,hurricane,wide-guard,helping-hand,worlds
2,zamazenta,rusted shield,dauntless shield,grass,body-press,heavy-slam,wide-guard,protect,worlds
2,urshifu,choice scarf,unseen fist,ghost,surging-strikes,close-combat,coaching,uturn,worlds
2,whimsicott,covert cloak,prankster,steel,moonblast,tailwind,sunny-day,encore,worlds
2,chi-yu,focus sash,beads of ruin,fire,heat-wave,overheat,dark-pulse,protect,worlds
2,regidrago,life orb,dragon's maw,ghost,dragon-energy,draco-meteor,tera-blast,protect,worlds
2,ditto,choice scarf,imposter,normal,transform,,,,worlds
2,zacian,rusted sword,intrepid sword,ground,iron-head,sacred-sword,tera-blast,protect,worlds
2,amoonguss,rocky helmet,regenerator,water,spore,sludge-bomb,rage-powder,protect,worlds
1,calyrex,clear amulet,as one (glastrier),normal,glacial-lance,high-horsepower,protect,trick-room,worlds
1,urshifu,focus sash,unseen fist,stellar,surging-strikes,close-combat,aqua-jet,detect,worlds
1,landorus,choice scarf,sheer force,ghost,earth-power,sandsear-storm,sludge-bomb,uturn,worlds
1,ogerpon,loaded dice,defiant,grass,bullet-seed,encore,follow-me,spiky-shield,worlds
1,pelipper,safety goggles,drizzle,grass,weather-ball,hurricane,wide-guard,helping-hand,worlds
1,incineroar,rocky helmet,intimidate,grass,knock-off,willowisp,fake-out,parting-shot,worlds
1,incineroar,rocky helmet,intimidate,water,parting-shot,knock-off,helping-hand,fake-out,worlds
1,raging-bolt,assault vest,protosynthesis,fairy,electroweb,volt-switch,thunderclap,draco-meteor,worlds
1,calyrex,life orb,as one (spectrier),dark,astral-barrage,psychic,nasty-plot,protect,worlds
1,rillaboom,clear amulet,grassy surge,fire,wood-hammer,grassy-glide,uturn,fake-out,worlds
1,amoonguss,mental herb,regenerator,water,spore,sludge-bomb,rage-powder,protect,worlds
1,urshifu,focus sash,unseen fist,stellar,surging-strikes,close-combat,aqua-jet,protect,worlds
1,urshifu,focus sash,unseen fist,dark,wicked-blow,close-combat,sucker-punch,detect,worlds
1,farigiraf,electric seed,armor tail,water,trick-room,helping-hand,psychic-noise,foul-play,worlds
1,iron-hands,assault vest,quark drive,grass,fake-out,low-kick,drain-punch,heavy-slam,worlds
1,miraidon,choice specs,hadron engine,fairy,dazzling-gleam,draco-meteor,electro-drift,volt-switch,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,horn-leech,follow-me,spiky-shield,worlds
1,whimsicott,covert cloak,prankster,water,tailwind,moonblast,encore,light-screen,worlds
1,koraidon,clear amulet,orichalcum pulse,fire,protect,flare-blitz,collision-course,flame-charge,worlds
1,raging-bolt,assault vest,protosynthesis,electric,volt-switch,thunderclap,draco-meteor,thunderbolt,worlds
1,ogerpon,cornerstone mask,sturdy,rock,ivy-cudgel,power-whip,spiky-shield,follow-me,worlds
1,flutter-mane,booster energy,protosynthesis,fairy,protect,icy-wind,moonblast,sunny-day,worlds
1,ditto,focus sash,imposter,ghost,transform,,,,worlds
1,chi-yu,covert cloak,beads of ruin,water,heat-wave,snarl,overheat,taunt,worlds
1,raging-bolt,assault vest,protosynthesis,poison,thunderclap,thunderbolt,dragon-pulse,electroweb,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,spiky-shield,follow-me,ivy-cudgel,wood-hammer,worlds
1,urshifu,focus sash,unseen fist,grass,detect,surging-strikes,close-combat,aqua-jet,worlds
1,landorus,choice scarf,sheer force,ghost,sandsear-storm,earth-power,sludge-bomb,psychic,worlds
1,grimmsnarl,covert cloak,prankster,water,thunder-wave,foul-play,reflect,taunt,worlds
1,terapagos,leftovers,tera shift,stellar,protect,calm-mind,tera-starstorm,dark-pulse,worlds
1,iron-hands,assault vest,quark drive,grass,drain-punch,wild-charge,heavy-slam,fake-out,worlds
1,klefki,light clay,prankster,ghost,light-screen,reflect,thunder-wave,dazzling-gleam,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,spiky-shield,follow-me,ivy-cudgel,taunt,worlds
1,smeargle,focus sash,moody,grass,follow-me,spore,decorate,quick-guard,worlds
1,tornadus,rocky helmet,prankster,dark,tailwind,protect,scary-face,bleakwind-storm,worlds
1,terapagos,choice specs,tera shift,stellar,tera-starstorm,earth-power,dark-pulse,dazzling-gleam,worlds
1,kyogre,assault vest,drizzle,grass,water-spout,ice-beam,origin-pulse,thunder,worlds
1,urshifu,choice band,unseen fist,grass,surging-strikes,close-combat,aqua-jet,uturn,worlds
1,tornadus,covert cloak,prankster,dark,tailwind,rain-dance,bleakwind-storm,taunt,worlds
1,landorus,choice scarf,sheer force,ghost,sandsear-storm,earth-power,taunt,sludge-bomb,worlds
1,tsareena,wide lens,queenly majesty,ice,protect,power-whip,triple-axel,taunt,worlds
1,basculegion,life orb,swift swim,grass,protect,wave-crash,last-respects,aqua-jet,worlds
1,terapagos,leftovers,tera shift,stellar,protect,calm-mind,tera-starstorm,dark-pulse,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,spiky-shield,follow-me,ivy-cudgel,wood-hammer,worlds
1,raging-bolt,assault vest,protosynthesis,poison,electroweb,thunderbolt,thunderclap,dragon-pulse,worlds
1,landorus,choice scarf,sheer force,ghost,earth-power,sandsear-storm,sludge-bomb,psychic,worlds
1,grimmsnarl,covert cloak,prankster,water,foul-play,reflect,thunder-wave,taunt,worlds
1,urshifu,focus sash,unseen fist,grass,detect,close-combat,aqua-jet,surging-strikes,worlds
1,calyrex,covert cloak,as one (spectrier),fairy,astral-barrage,draining-kiss,calm-mind,protect,worlds
1,rillaboom,assault vest,grassy surge,fire,wood-hammer,grassy-glide,uturn,fake-out,worlds
1,roaring-moon,booster energy,protosynthesis,flying,knock-off,acrobatics,tailwind,protect,worlds
1,incineroar,rocky helmet,intimidate,water,flare-blitz,parting-shot,willowisp,fake-out,worlds
1,urshifu,focus sash,unseen fist,stellar,surging-strikes,close-combat,taunt,detect,worlds
1,clefairy,eviolite,friend guard,grass,follow-me,helping-hand,after-you,protect,worlds
1,incineroar,assault vest,intimidate,dragon,flare-blitz,fake-out,uturn,knock-off,worlds
1,whimsicott,focus sash,prankster,ghost,moonblast,encore,protect,tailwind,worlds
1,iron-crown,expert belt,quark drive,ground,tachyon-cutter,protect,psychic-noise,tera-blast,worlds
1,ursaluna,flame orb,guts,normal,headlong-rush,facade,substitute,protect,worlds
1,urshifu,mystic water,unseen fist,grass,surging-strikes,close-combat,aqua-jet,protect,worlds
1,miraidon,choice specs,hadron engine,ghost,electro-drift,volt-switch,discharge,dragon-pulse,worlds
1,iron-hands,assault vest,quark drive,grass,fake-out,drain-punch,wild-charge,heavy-slam,worlds
1,urshifu,focus sash,unseen fist,dark,wicked-blow,close-combat,sucker-punch,detect,worlds
1,farigiraf,electric seed,armor tail,water,psychic-noise,foul-play,trick-room,helping-hand,worlds
1,chi-yu,choice scarf,beads of ruin,fire,overheat,heat-wave,snarl,flamethrower,worlds
1,miraidon,choice specs,hadron engine,fairy,electro-drift,volt-switch,draco-meteor,dazzling-gleam,worlds
1,whimsicott,covert cloak,prankster,fire,moonblast,tailwind,encore,light-screen,worlds
1,ogerpon,cornerstone mask,sturdy,rock,ivy-cudgel,power-whip,follow-me,spiky-shield,worlds
1,urshifu,focus sash,unseen fist,water,surging-strikes,close-combat,aqua-jet,detect,worlds
1,rillaboom,assault vest,grassy surge,grass,wood-hammer,grassy-glide,uturn,fake-out,worlds
1,raging-bolt,booster energy,protosynthesis,electric,thunderbolt,draco-meteor,thunderclap,protect,worlds
1,farigiraf,throat spray,armor tail,water,hyper-voice,shadow-ball,trick-room,helping-hand,worlds
1,calyrex,clear amulet,as one (glastrier),fire,glacial-lance,high-horsepower,trick-room,protect,worlds
1,umbreon,safety goggles,inner focus,water,snarl,taunt,foul-play,yawn,worlds
1,tornadus,covert cloak,prankster,dark,bleakwind-storm,rain-dance,protect,tailwind,worlds
1,chien-pao,focus sash,sword of ruin,ghost,sacred-sword,icicle-crash,protect,sucker-punch,worlds
1,zacian,rusted sword,intrepid sword,fairy,iron-head,swords-dance,protect,play-rough,worlds
1,rillaboom,assault vest,grassy surge,normal,wood-hammer,fake-out,high-horsepower,grassy-glide,worlds
1,urshifu,mystic water,unseen fist,grass,close-combat,detect,surging-strikes,aqua-jet,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,follow-me,taunt,spiky-shield,worlds
1,tornadus,rocky helmet,prankster,dark,tailwind,scary-face,protect,bleakwind-storm,worlds
1,smeargle,focus sash,moody,grass,follow-me,spore,decorate,quick-guard,worlds
1,iron-hands,assault vest,quark drive,grass,fake-out,drain-punch,wild-charge,heavy-slam,worlds
1,terapagos,choice specs,tera shift,stellar,tera-starstorm,earth-power,dazzling-gleam,dark-pulse,worlds
1,klefki,light clay,prankster,ghost,reflect,light-screen,thunder-wave,dazzling-gleam,worlds
1,clefairy,eviolite,friend guard,ground,follow-me,helping-hand,after-you,protect,worlds
1,calyrex,life orb,as one (spectrier),grass,astral-barrage,giga-drain,nasty-plot,protect,worlds
1,urshifu,mystic water,unseen fist,water,surging-strikes,close-combat,taunt,detect,worlds
1,tornadus,covert cloak,prankster,dark,bleakwind-storm,tailwind,rain-dance,taunt,worlds
1,iron-hands,assault vest,quark drive,fire,fake-out,wild-charge,drain-punch,volt-switch,worlds
1,smeargle,focus sash,moody,ghost,wide-guard,spore,spiky-shield,follow-me,worlds
1,scream-tail,booster energy,protosynthesis,ghost,play-rough,encore,disable,protect,worlds
1,ogerpon,cornerstone mask,sturdy,rock,ivy-cudgel,grassy-glide,follow-me,spiky-shield,worlds
1,annihilape,choice scarf,defiant,grass,final-gambit,close-combat,uturn,shadow-claw,worlds
1,rillaboom,assault vest,grassy surge,fire,wood-hammer,uturn,grassy-glide,fake-out,worlds
1,terapagos,leftovers,tera shift,stellar,tera-starstorm,protect,substitute,calm-mind,worlds
1,incineroar,rocky helmet,intimidate,ghost,knock-off,willowisp,fake-out,parting-shot,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,wood-hammer,spiky-shield,taunt,worlds
1,urshifu,focus sash,unseen fist,stellar,surging-strikes,close-combat,aqua-jet,detect,worlds
1,iron-hands,assault vest,quark drive,bug,low-kick,drain-punch,fake-out,wild-charge,worlds
1,farigiraf,electric seed,armor tail,water,foul-play,psychic-noise,trick-room,helping-hand,worlds
1,miraidon,choice specs,hadron engine,fairy,electro-drift,volt-switch,dazzling-gleam,draco-meteor,worlds
1,whimsicott,covert cloak,prankster,fire,encore,light-screen,moonblast,tailwind,worlds
1,flutter-mane,booster energy,protosynthesis,grass,moonblast,icy-wind,thunder-wave,protect,worlds
1,chi-yu,covert cloak,beads of ruin,grass,heat-wave,snarl,overheat,protect,worlds
1,latios,life orb,levitate,steel,luster-purge,draco-meteor,tailwind,protect,worlds
1,zamazenta,rusted shield,dauntless shield,dragon,body-press,heavy-slam,wide-guard,protect,worlds
1,rillaboom,choice band,grassy surge,grass,grassy-glide,wood-hammer,high-horsepower,uturn,worlds
1,tyranitar,focus sash,sand stream,ghost,rock-slide,knock-off,stone-edge,protect,worlds
1,rillaboom,assault vest,grassy surge,fire,fake-out,grassy-glide,wood-hammer,uturn,worlds
1,chien-pao,focus sash,sword of ruin,ghost,protect,icicle-crash,sucker-punch,throat-chop,worlds
1,pelipper,safety goggles,drizzle,ghost,protect,hurricane,weather-ball,wide-guard,worlds
1,gholdengo,life orb,good as gold,normal,protect,nasty-plot,shadow-ball,make-it-rain,worlds
1,grimmsnarl,light clay,prankster,ghost,reflect,light-screen,thunder-wave,spirit-break,worlds
1,zamazenta,rusted shield,dauntless shield,grass,protect,body-press,iron-defense,heavy-slam,worlds
1,urshifu,life orb,unseen fist,ghost,surging-strikes,close-combat,taunt,protect,worlds
1,okidogi,assault vest,guard dog,grass,gunk-shot,drain-punch,knock-off,upper-hand,worlds
1,indeedee,safety goggles,psychic surge,water,alluring-voice,follow-me,helping-hand,trick-room,worlds
1,ursaluna,flame orb,guts,ghost,facade,headlong-rush,earthquake,protect,worlds
1,whimsicott,covert cloak,prankster,dark,grass-knot,tailwind,encore,light-screen,worlds
1,lunala,power herb,shadow shield,grass,moongeist-beam,meteor-beam,expanding-force,trick-room,worlds
1,miraidon,choice specs,hadron engine,fairy,electro-drift,draco-meteor,volt-switch,dazzling-gleam,worlds
1,urshifu,focus sash,unseen fist,stellar,close-combat,surging-strikes,aqua-jet,detect,worlds
1,iron-hands,assault vest,quark drive,grass,low-kick,wild-charge,drain-punch,fake-out,worlds
1,farigiraf,electric seed,armor tail,water,psychic,helping-hand,trick-room,foul-play,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,wood-hammer,follow-me,spiky-shield,worlds
1,whimsicott,covert cloak,prankster,dark,moonblast,tailwind,light-screen,encore,worlds
1,groudon,clear amulet,drought,fire,precipice-blades,heat-crash,bulk-up,protect,worlds
1,iron-jugulis,booster energy,quark drive,steel,air-slash,snarl,tailwind,protect,worlds
1,iron-hands,assault vest,quark drive,fairy,drain-punch,low-kick,wild-charge,fake-out,worlds
1,raging-bolt,focus sash,protosynthesis,stellar,thunderbolt,draco-meteor,thunderclap,protect,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,bullet-seed,follow-me,spiky-shield,worlds
1,urshifu,dread plate,unseen fist,water,wicked-blow,sucker-punch,coaching,detect,worlds
1,ditto,choice scarf,imposter,ghost,transform,,,,worlds
1,chien-pao,focus sash,sword of ruin,ghost,icicle-crash,lash-out,sucker-punch,protect,worlds
1,rillaboom,miracle seed,grassy surge,grass,grassy-glide,wood-hammer,fake-out,protect,worlds
1,flutter-mane,booster energy,protosynthesis,fairy,moonblast,shadow-ball,thunder-wave,taunt,worlds
1,entei,choice band,inner focus,normal,sacred-fire,extreme-speed,stomping-tantrum,flare-blitz,worlds
1,zamazenta,rusted shield,dauntless shield,dragon,body-press,heavy-slam,wide-guard,protect,worlds
1,calyrex,choice specs,as one (spectrier),normal,astral-barrage,psychic,pollen-puff,hyper-beam,worlds
1,weezing,covert cloak,neutralizing gas,dark,strange-steam,poison-gas,toxic-spikes,sludge-bomb,worlds
1,mienshao,focus sash,inner focus,fighting,close-combat,fake-out,feint,wide-guard,worlds
1,dondozo,leftovers,unaware,grass,body-press,order-up,earthquake,protect,worlds
1,chi-yu,choice scarf,beads of ruin,ghost,overheat,heat-wave,dark-pulse,snarl,worlds
1,tatsugiri,assault vest,commander,fairy,draco-meteor,muddy-water,mirror-coat,counter,worlds
1,clefairy,eviolite,friend guard,grass,protect,follow-me,helping-hand,sing,worlds
1,mienshao,focus sash,inner focus,fighting,close-combat,taunt,wide-guard,fake-out,worlds
1,incineroar,safety goggles,intimidate,water,knock-off,willowisp,parting-shot,fake-out,worlds
1,urshifu,choice scarf,unseen fist,water,surging-strikes,close-combat,uturn,rock-tomb,worlds
1,rillaboom,assault vest,grassy surge,fire,wood-hammer,uturn,grassy-glide,fake-out,worlds
1,calyrex,covert cloak,as one (spectrier),fairy,protect,astral-barrage,draining-kiss,calm-mind,worlds
1,calyrex,life orb,as one (spectrier),normal,astral-barrage,psychic,nasty-plot,protect,worlds
1,raging-bolt,booster energy,protosynthesis,electric,thunderbolt,thunderclap,draco-meteor,protect,worlds
1,ogerpon,hearthflame mask,mold breaker,fire,ivy-cudgel,grassy-glide,follow-me,spiky-shield,worlds
1,rillaboom,assault vest,grassy surge,fire,wood-hammer,grassy-glide,fake-out,uturn,worlds
1,urshifu,focus sash,unseen fist,stellar,surging-strikes,close-combat,protect,aqua-jet,worlds
1,clefairy,eviolite,friend guard,ground,follow-me,helping-hand,heal-pulse,protect,worlds
1,ogerpon,cornerstone mask,sturdy,rock,spiky-shield,ivy-cudgel,taunt,follow-me,worlds
1,smeargle,focus sash,moody,grass,spore,fake-out,wide-guard,follow-me,worlds
1,clefairy,eviolite,friend guard,water,protect,follow-me,helping-hand,sing,worlds
1,urshifu,choice scarf,unseen fist,water,surging-strikes,close-combat,uturn,aqua-jet,worlds
1,calyrex,covert cloak,as one (spectrier),fairy,protect,astral-barrage,draining-kiss,calm-mind,worlds
1,rillaboom,assault vest,grassy surge,fire,grassy-glide,wood-hammer,uturn,fake-out,worlds
1,calyrex,nevermelt ice,as one (glastrier),fire,glacial-lance,protect,trick-room,high-horsepower,worlds
